id,subject,year,question_number,marks,question_type,language,model,response_length_words,memo_answer_score,memo_steps_score,combined_score,gemini_judge_score,claude_judge_score,error
math_2025_p1_q1_1_1,Mathematics,2025,1.1.1,2,short_answer,en,models/gemini-2.5-flash,127,0.75,0.6667,0.7167,,1.0,
math_2025_p1_q1_1_1,Mathematics,2025,1.1.1,2,short_answer,af,models/gemini-2.5-flash,107,0.5,0.6667,0.5667,,1.0,
math_2025_p1_q1_1_2,Mathematics,2025,1.1.2,4,short_answer,en,models/gemini-2.5-flash,173,0.25,0.4444,0.3278,,1.0,
math_2025_p1_q1_1_2,Mathematics,2025,1.1.2,4,short_answer,af,models/gemini-2.5-flash,199,0.25,0.2222,0.2389,,1.0,
math_2025_p1_q1_1_3,Mathematics,2025,1.1.3,4,short_answer,en,models/gemini-2.5-flash,271,0.75,0.6667,0.7167,,1.0,
math_2025_p1_q1_1_3,Mathematics,2025,1.1.3,4,short_answer,af,models/gemini-2.5-flash,272,0.5,0.2222,0.3889,,1.0,
math_2025_p1_q1_1_4,Mathematics,2025,1.1.4,4,short_answer,en,models/gemini-2.5-flash,356,0.75,0.55,0.67,,1.0,
math_2025_p1_q1_1_4,Mathematics,2025,1.1.4,4,short_answer,af,models/gemini-2.5-flash,306,0.5,0.2,0.38,,1.0,
math_2025_p1_q1_1_5,Mathematics,2025,1.1.5,5,short_answer,en,models/gemini-2.5-flash,365,1.0,0.5476,0.819,,1.0,
math_2025_p1_q1_1_5,Mathematics,2025,1.1.5,5,short_answer,af,models/gemini-2.5-flash,343,1.0,0.1429,0.6571,,1.0,
math_2025_p1_q1_2,Mathematics,2025,1.2,6,short_answer,en,models/gemini-2.5-flash,345,0.625,0.6098,0.6189,,1.0,
math_2025_p1_q1_2,Mathematics,2025,1.2,6,short_answer,af,models/gemini-2.5-flash,453,0.5,0.2439,0.3976,,1.0,
math_2025_p1_q2_1_1,Mathematics,2025,2.1.1,3,short_answer,en,models/gemini-2.5-flash,308,1.0,0.875,0.95,,1.0,
math_2025_p1_q2_1_1,Mathematics,2025,2.1.1,3,short_answer,af,models/gemini-2.5-flash,0,0.0,0.0,0.0,,0.0,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
math_2025_p1_q2_1_2,Mathematics,2025,2.1.2,3,short_answer,en,models/gemini-2.5-flash,282,0.2,0.6,0.36,,0.95,
math_2025_p1_q2_1_2,Mathematics,2025,2.1.2,3,short_answer,af,models/gemini-2.5-flash,273,0.2,0.3,0.24,,1.0,
math_2025_p1_q2_1_3,Mathematics,2025,2.1.3,2,short_answer,en,models/gemini-2.5-flash,297,0.25,0.6,0.39,,1.0,
math_2025_p1_q2_1_3,Mathematics,2025,2.1.3,2,short_answer,af,models/gemini-2.5-flash,259,0.0,0.3333,0.1333,,1.0,
math_2025_p1_q2_2_1,Mathematics,2025,2.2.1,2,short_answer,en,models/gemini-2.5-flash,203,1.0,0.8148,0.9259,,1.0,
math_2025_p1_q2_2_1,Mathematics,2025,2.2.1,2,short_answer,af,models/gemini-2.5-flash,87,0.75,0.2963,0.5685,,0.5,
math_2025_p1_q2_2_2,Mathematics,2025,2.2.2,5,short_answer,en,models/gemini-2.5-flash,532,1.0,0.6889,0.8756,,1.0,
math_2025_p1_q2_2_2,Mathematics,2025,2.2.2,5,short_answer,af,models/gemini-2.5-flash,433,1.0,0.3556,0.7422,,1.0,
math_2025_p1_q3_1,Mathematics,2025,3.1,2,short_answer,en,models/gemini-2.5-flash,361,0.6667,0.76,0.704,,1.0,
math_2025_p1_q3_1,Mathematics,2025,3.1,2,short_answer,af,models/gemini-2.5-flash,372,0.6667,0.32,0.528,,1.0,
math_2025_p1_q3_2,Mathematics,2025,3.2,3,short_answer,en,models/gemini-2.5-flash,535,1.0,0.8333,0.9333,,1.0,
math_2025_p1_q3_2,Mathematics,2025,3.2,3,short_answer,af,models/gemini-2.5-flash,228,0.4,0.1667,0.3067,,0.3,
math_2025_p1_q3_3,Mathematics,2025,3.3,3,short_answer,en,models/gemini-2.5-flash,173,0.8571,0.619,0.7619,,0.95,
math_2025_p1_q3_3,Mathematics,2025,3.3,3,short_answer,af,models/gemini-2.5-flash,160,0.4286,0.2857,0.3714,,0.95,
math_2025_p1_q3_4,Mathematics,2025,3.4,2,short_answer,en,models/gemini-2.5-flash,383,1.0,0.7073,0.8829,,1.0,
math_2025_p1_q3_4,Mathematics,2025,3.4,2,short_answer,af,models/gemini-2.5-flash,213,0.5,0.3659,0.4463,,1.0,
math_2025_p1_q4_1,Mathematics,2025,4.1,1,short_answer,en,models/gemini-2.5-flash,140,0.5,0.8,0.62,,1.0,
math_2025_p1_q4_1,Mathematics,2025,4.1,1,short_answer,af,models/gemini-2.5-flash,131,0.5,0.5,0.5,,1.0,
math_2025_p1_q4_2,Mathematics,2025,4.2,1,short_answer,en,models/gemini-2.5-flash,116,0.5,0.7273,0.5909,,1.0,
math_2025_p1_q4_2,Mathematics,2025,4.2,1,short_answer,af,models/gemini-2.5-flash,117,0.5,0.5455,0.5182,,1.0,
math_2025_p1_q4_3,Mathematics,2025,4.3,2,short_answer,en,models/gemini-2.5-flash,99,0.2,0.5714,0.3486,,1.0,
math_2025_p1_q4_3,Mathematics,2025,4.3,2,short_answer,af,models/gemini-2.5-flash,117,0.2,0.2857,0.2343,,1.0,
math_2025_p1_q4_4,Mathematics,2025,4.4,1,short_answer,en,models/gemini-2.5-flash,111,1.0,0.6875,0.875,,1.0,
math_2025_p1_q4_4,Mathematics,2025,4.4,1,short_answer,af,models/gemini-2.5-flash,50,1.0,0.375,0.75,,1.0,
math_2025_p1_q4_6,Mathematics,2025,4.6,2,short_answer,en,models/gemini-2.5-flash,313,1.0,0.7308,0.8923,,1.0,
math_2025_p1_q4_6,Mathematics,2025,4.6,2,short_answer,af,models/gemini-2.5-flash,301,1.0,0.4615,0.7846,,1.0,
math_2025_p1_q5_1,Mathematics,2025,5.1,1,short_answer,en,models/gemini-2.5-flash,146,1.0,0.9167,0.9667,,0.85,
math_2025_p1_q5_1,Mathematics,2025,5.1,1,short_answer,af,models/gemini-2.5-flash,106,1.0,0.5,0.8,,0.95,
math_2025_p1_q5_2,Mathematics,2025,5.2,1,short_answer,en,models/gemini-2.5-flash,159,1.0,0.9048,0.9619,,0.2,
math_2025_p1_q5_2,Mathematics,2025,5.2,1,short_answer,af,models/gemini-2.5-flash,171,0.6667,0.381,0.5524,,0.4,
math_2025_p1_q5_3_1,Mathematics,2025,5.3.1,2,short_answer,en,models/gemini-2.5-flash,578,1.0,0.8333,0.9333,,0.95,
math_2025_p1_q5_3_1,Mathematics,2025,5.3.1,2,short_answer,af,models/gemini-2.5-flash,719,1.0,0.3889,0.7556,,1.0,
math_2025_p1_q5_3_2,Mathematics,2025,5.3.2,2,short_answer,en,models/gemini-2.5-flash,222,1.0,0.4828,0.7931,,1.0,
math_2025_p1_q5_3_2,Mathematics,2025,5.3.2,2,short_answer,af,models/gemini-2.5-flash,206,0.75,0.2414,0.5466,,1.0,
math_2025_p1_q5_4,Mathematics,2025,5.4,3,short_answer,en,models/gemini-2.5-flash,293,0.75,0.6765,0.7206,,1.0,
math_2025_p1_q5_4,Mathematics,2025,5.4,3,short_answer,af,models/gemini-2.5-flash,237,1.0,0.5,0.8,,1.0,
math_2025_p1_q5_5,Mathematics,2025,5.5,6,short_answer,en,models/gemini-2.5-flash,332,0.25,0.8,0.47,,0.22,
math_2025_p1_q5_5,Mathematics,2025,5.5,6,short_answer,af,models/gemini-2.5-flash,354,0.5,0.6571,0.5629,,0.15,
math_2025_p1_q5_6,Mathematics,2025,5.6,3,short_answer,en,models/gemini-2.5-flash,224,1.0,0.8462,0.9385,,1.0,
math_2025_p1_q5_6,Mathematics,2025,5.6,3,short_answer,af,models/gemini-2.5-flash,175,1.0,0.5385,0.8154,,1.0,
math_2025_p1_q6_1,Mathematics,2025,6.1,1,short_answer,en,models/gemini-2.5-flash,219,0.5,0.9412,0.6765,,1.0,
math_2025_p1_q6_1,Mathematics,2025,6.1,1,short_answer,af,models/gemini-2.5-flash,159,0.5,0.2941,0.4176,,1.0,
math_2025_p1_q6_2,Mathematics,2025,6.2,5,short_answer,en,models/gemini-2.5-flash,706,0.8,0.6531,0.7412,,0.15,
math_2025_p1_q6_2,Mathematics,2025,6.2,5,short_answer,af,models/gemini-2.5-flash,720,0.8,0.4082,0.6433,,0.15,
math_2025_p1_q6_3,Mathematics,2025,6.3,2,description,en,models/gemini-2.5-flash,388,0.6667,0.6053,0.6421,,0.35,
math_2025_p1_q6_3,Mathematics,2025,6.3,2,description,af,models/gemini-2.5-flash,383,0.1111,0.2105,0.1509,,0.85,
math_2025_p1_q7_1,Mathematics,2025,7.1,2,short_answer,en,models/gemini-2.5-flash,146,0.5,0.3846,0.4538,,0.95,
math_2025_p1_q7_1,Mathematics,2025,7.1,2,short_answer,af,models/gemini-2.5-flash,92,0.5,0.2308,0.3923,,0.85,
math_2025_p1_q7_2,Mathematics,2025,7.2,4,short_answer,en,models/gemini-2.5-flash,340,0.0,0.65,0.26,,0.15,
math_2025_p1_q7_2,Mathematics,2025,7.2,4,short_answer,af,models/gemini-2.5-flash,386,0.5,0.25,0.4,,0.15,
math_2025_p1_q7_3_1,Mathematics,2025,7.3.1,5,short_answer,en,models/gemini-2.5-flash,448,1.0,0.6452,0.8581,,0.95,
math_2025_p1_q7_3_1,Mathematics,2025,7.3.1,5,short_answer,af,models/gemini-2.5-flash,649,0.125,0.1935,0.1524,,0.95,
math_2025_p1_q7_3_2,Mathematics,2025,7.3.2,4,short_answer,en,models/gemini-2.5-flash,489,0.0,0.5294,0.2118,,0.15,
math_2025_p1_q7_3_2,Mathematics,2025,7.3.2,4,short_answer,af,models/gemini-2.5-flash,363,0.0,0.1765,0.0706,,0.15,
math_2025_p1_q8_1,Mathematics,2025,8.1,4,short_answer,en,models/gemini-2.5-flash,221,0.5,0.5263,0.5105,,1.0,
math_2025_p1_q8_1,Mathematics,2025,8.1,4,short_answer,af,models/gemini-2.5-flash,152,0.5,0.2632,0.4053,,1.0,
math_2025_p1_q8_2_1,Mathematics,2025,8.2.1,2,short_answer,en,models/gemini-2.5-flash,151,0.6667,0.5833,0.6333,,1.0,
math_2025_p1_q8_2_1,Mathematics,2025,8.2.1,2,short_answer,af,models/gemini-2.5-flash,127,0.6667,0.25,0.5,,1.0,
math_2025_p1_q8_2_2,Mathematics,2025,8.2.2,4,short_answer,en,models/gemini-2.5-flash,135,0.5,0.4,0.46,,1.0,
math_2025_p1_q8_2_2,Mathematics,2025,8.2.2,4,short_answer,af,models/gemini-2.5-flash,235,0.75,0.6,0.69,,0.95,
math_2025_p1_q9_1,Mathematics,2025,9.1,4,short_answer,en,models/gemini-2.5-flash,447,0.0,0.8182,0.3273,,1.0,
math_2025_p1_q9_1,Mathematics,2025,9.1,4,short_answer,af,models/gemini-2.5-flash,303,0.0,0.6364,0.2545,,1.0,
math_2025_p1_q9_2,Mathematics,2025,9.2,3,short_answer,en,models/gemini-2.5-flash,126,1.0,0.9167,0.9667,,1.0,
math_2025_p1_q9_2,Mathematics,2025,9.2,3,short_answer,af,models/gemini-2.5-flash,143,1.0,0.5833,0.8333,,1.0,
math_2025_p1_q9_3,Mathematics,2025,9.3,4,short_answer,en,models/gemini-2.5-flash,455,0.8333,0.7317,0.7927,,1.0,
math_2025_p1_q9_3,Mathematics,2025,9.3,4,short_answer,af,models/gemini-2.5-flash,584,0.6667,0.2439,0.4976,,1.0,
math_2025_p1_q9_4,Mathematics,2025,9.4,6,short_answer,en,models/gemini-2.5-flash,576,0.6667,0.4783,0.5913,,1.0,
math_2025_p1_q9_4,Mathematics,2025,9.4,6,short_answer,af,models/gemini-2.5-flash,642,0.6667,0.3261,0.5304,,1.0,
math_2025_p1_q10_1,Mathematics,2025,10.1,3,short_answer,en,models/gemini-2.5-flash,271,1.0,0.7647,0.9059,,1.0,
math_2025_p1_q10_1,Mathematics,2025,10.1,3,short_answer,af,models/gemini-2.5-flash,364,1.0,0.4118,0.7647,,1.0,
math_2025_p1_q10_2,Mathematics,2025,10.2,3,short_answer,en,models/gemini-2.5-flash,298,0.5,0.5789,0.5316,,1.0,
math_2025_p1_q10_2,Mathematics,2025,10.2,3,short_answer,af,models/gemini-2.5-flash,296,0.25,0.2632,0.2553,,1.0,
math_2025_p1_q11_1_1,Mathematics,2025,11.1.1,3,short_answer,en,models/gemini-2.5-flash,296,1.0,0.6667,0.8667,,1.0,
math_2025_p1_q11_1_1,Mathematics,2025,11.1.1,3,short_answer,af,models/gemini-2.5-flash,328,1.0,0.25,0.7,,1.0,
math_2025_p1_q11_1_2,Mathematics,2025,11.1.2,3,short_answer,en,models/gemini-2.5-flash,263,0.375,0.4615,0.4096,,0.0,
math_2025_p1_q11_1_2,Mathematics,2025,11.1.2,3,short_answer,af,models/gemini-2.5-flash,209,0.0,0.1923,0.0769,,0.15,
math_2025_p1_q11_2,Mathematics,2025,11.2,4,short_answer,en,models/gemini-2.5-flash,378,1.0,0.5312,0.8125,,0.0,
math_2025_p1_q11_2,Mathematics,2025,11.2,4,short_answer,af,models/gemini-2.5-flash,353,0.25,0.125,0.2,,1.0,
math_2025_p1_q11_3_1,Mathematics,2025,11.3.1,2,short_answer,en,models/gemini-2.5-flash,302,0.5,0.7429,0.5971,,1.0,
math_2025_p1_q11_3_1,Mathematics,2025,11.3.1,2,short_answer,af,models/gemini-2.5-flash,161,0.5,0.2286,0.3914,,1.0,
math_2025_p1_q11_3_2,Mathematics,2025,11.3.2,4,short_answer,en,models/gemini-2.5-flash,705,0.0,0.5116,0.2047,,1.0,
math_2025_p1_q11_3_2,Mathematics,2025,11.3.2,4,short_answer,af,models/gemini-2.5-flash,736,0.0,0.3023,0.1209,,0.25,
